APPLICATION_DOMAIN,CLUSTER,N_PROGETTI,DATASET_TYPE,FP_EFFORT,IFPUG_FP,PROD_GREZZA_FP,IS_ILF,IS_EIF,IS_EI,IS_EQ,IS_EO,B_ILF,B_EIF,B_EI,B_EQ,B_EO,N_COMP_MARGINALI,N_BETA_NEGATIVI,N_COMP_MISMATCH_IS_B,IS_DOMINANZA_FORTE,IS_PROFILO_PIATTO,PROFILE_CLASS,PROFILE_QUALITY_NOTES
Billing,0,62,B,1759.3,2535.0,1.4409139998863185,0.16666666666666666,0.004219409282700422,0.31645569620253167,0.17721518987341772,0.33544303797468356,2.5655182106860854,4.270246404476177,0.4204670340013408,2.7323175849844787,2.4472745524563813,1,0,0,0,0,ALTA,marginal components: EIF
Data Platform,0,67,B,1558.3,3222.0,2.067637810434448,0.1821247892074199,0.01517706576728499,0.30522765598650925,0.20236087689713322,0.2951096121416526,2.6923677717815293,1.349115202725379,2.7062454924265804,2.4426371951062613,1.8953793729876187,1,0,0,0,0,ALTA,marginal components: EIF
Integration,0,78,B,1474.4000000000003,2433.0,1.6501627780792183,0.0,0.0,0.4251824817518248,0.13503649635036497,0.4397810218978102,0.0,8.881784197001252e-16,1.8257840605994193,1.9185158180876303,1.7772490169163235,2,0,0,0,0,MEDIA,"marginal components: ILF, EIF"
