APPLICATION_DOMAIN,CLUSTER,GROUP_NAME,N_PROGETTI,MEDIA_FP,MEDIA_EFFORT,MEDIA_PROD_GREZZA,MEDIA_PROD_ATTESA,MEDIA_SPI,MEDIA_DIST_STRUTTURALE,MEDIA_DEVIANCE,MEDIANA_FP,MEDIANA_EFFORT,MEDIANA_PROD_GREZZA,MEDIANA_PROD_ATTESA,MEDIANA_SPI,MEDIANA_DIST_STRUTTURALE,MEDIANA_DEVIANCE,ICS,ICP,IAS
Billing,0,B0,62,40.88709677419355,28.375806451612902,1.8602419455150947,1.8602419455150954,1.0016083783538765,0.309516729026058,0.6196036180009197,33.0,20.05,1.694721259387637,1.8666863904807336,0.9050844217658003,0.2654156360047072,0.47245686747510307,1.0,1.0,0.09491557823419972
Data Platform,0,B0,67,48.08955223880597,23.25820895522388,2.407118867624402,2.4071188676244044,0.9995683788487506,0.36425180108646915,0.7796634794553323,39.0,16.5,2.185430463576159,2.397270270403207,0.9167858562695261,0.2921680425945111,0.6734976677926463,1.0,1.0,0.08321414373047387
Integration,0,B0,78,31.192307692307693,18.902564102564106,1.8189815188850282,1.8189815188850298,0.999995244739331,0.1685275265486776,0.4493910906698196,26.0,13.85,1.7388167388167388,1.8182307215192655,0.9555391678482112,0.13390010870710353,0.34588274684450593,1.0,1.0,0.044460832151788754
