APPLICATION_DOMAIN;CLUSTER;N_PROGETTI;DATASET_TYPE;FP_EFFORT;IFPUG_FP;PROD_GREZZA_FP;IS_ILF;IS_EIF;IS_EI;IS_EQ;IS_EO;B_ILF;B_EIF;B_EI;B_EQ;B_EO;N_COMP_MARGINALI;N_BETA_NEGATIVI;N_COMP_MISMATCH_IS_B;IS_DOMINANZA_FORTE;IS_PROFILO_PIATTO;PROFILE_CLASS;PROFILE_QUALITY_NOTES
Billing;0;62,00;B;1759,30;2535,00;1,44;0,17;0,00;0,32;0,18;0,34;2,57;4,27;0,42;2,73;2,45;1,00;0,00;0,00;0,00;0,00;ALTA;componenti marginali: EIF
Data Platform;0;67,00;B;1558,30;3222,00;2,07;0,18;0,02;0,31;0,20;0,30;2,69;1,35;2,71;2,44;1,90;1,00;0,00;0,00;0,00;0,00;ALTA;componenti marginali: EIF
Integration;0;78,00;B;1474,40;2433,00;1,65;0,00;0,00;0,43;0,14;0,44;0,00;0,00;1,83;1,92;1,78;2,00;0,00;0,00;0,00;0,00;MEDIA;componenti marginali: ILF, EIF
