CONFIGURATION;APPLICATION_DOMAIN;DEV_HIGH;DEV_MEDIUM;DEV_LOW;SEPARATION_RATIO
Narrow (P33-66);Billing;0,0554;0,1818;0,4958;8,9574
Narrow (P33-66);Data Platform;0,088;0,2461;0,4343;4,938
Narrow (P33-66);Integration;0,0506;0,1439;0,3598;7,1067
Baseline (P40-80);Billing;0,0634;0,2602;0,5471;8,6238
Baseline (P40-80);Data Platform;0,104;0,285;0,5009;4,8186
Baseline (P40-80);Integration;0,0637;0,1955;0,4407;6,9182
Wide (P50-90);Billing;0,077;0,3545;0,6866;8,9164
Wide (P50-90);Data Platform;0,1298;0,3291;0,6192;4,7715
Wide (P50-90);Integration;0,0816;0,2667;0,4877;5,9759
