APPLICATION_DOMAIN;CLUSTER;GROUP_NAME;N_PROGETTI;MEDIA_FP;MEDIA_EFFORT;MEDIA_PROD_GREZZA;MEDIA_PROD_ATTESA;MEDIA_SPI;MEDIA_DIST_STRUTTURALE;MEDIA_DEVIANCE;MEDIANA_FP;MEDIANA_EFFORT;MEDIANA_PROD_GREZZA;MEDIANA_PROD_ATTESA;MEDIANA_SPI;MEDIANA_DIST_STRUTTURALE;MEDIANA_DEVIANCE;ICS;ICP;IAS
Billing;0;B0;62,00;40,89;28,38;1,86;1,86;1,00;0,31;0,62;33,00;20,05;1,69;1,87;0,91;0,27;0,47;1,00;1,00;0,09
Data Platform;0;B0;67,00;48,09;23,26;2,41;2,41;1,00;0,36;0,78;39,00;16,50;2,19;2,40;0,92;0,29;0,67;1,00;1,00;0,08
Integration;0;B0;78,00;31,19;18,90;1,82;1,82;1,00;0,17;0,45;26,00;13,85;1,74;1,82;0,96;0,13;0,35;1,00;1,00;0,04
